spot_key;zone_key;display_name;short_term_model;display_wind_requirements;display_spot_infos;Latitude_spot;Longitude_spot;AROMEHD_gridpoint_latitude;AROMEHD_gridpoint_longitude;AROMEHD_gridpoint_elevation;ARPEGE_gridpoint_latitude;ARPEGE_gridpoint_longitude;ARPEGE_gridpoint_elevation;IFS_gridpoint_latitude;IFS_gridpoint_longitude;IFS_gridpoint_elevation
ferme_de_sauze;sauze;Ferme de Sauze;AROMEHD;"AROMEHD = Court terme très fiable
ARPEGE = Moyen terme/fiable
IFS = Long terme peu fiable

Mise à jour quotidienne a 6h30 et 19h30";Bonne journée Papou;45.09604610002097;4.714684175474471;45.09000;4.71000;467;45.10000;4.70000;444;45.09666;4.75894;359
lyon;lyon;Lyon;AROMEHD;;Mise à jour quotidienne a 6h30 et 19h30;45.77551201707018;4.854202422991316;45.78000;4.85000;172;45.80000;4.90000;225;45.79965;4.83412;233
hyeres;hyeres;Hyères;AROMEHD;;Mise à jour quotidienne a 6h30 et 19h30;43.110398512370985;6.132120849985681;43.11000;6.13000;18;43.10000;6.10000;33;43.12829;6.16990;24
meribel;meribel;Méribel;AROMEHD;;Mise à jour quotidienne a 6h30 et 19h30;45.389240869404695;6.587932378784725;45.39000;6.59000;2023;45.40000;6.60000;1815;45.37785;6.61972;2108
